Job Title,Publish Date,Closing Date,Position Level,Year Experience,Number of Hiring,Salary Range (Min),Salary Range (Max),Gender,Age,Term,Job Category,Industry,Education Level,Language 1,Langue level 1,Langue 2,Language level 2,Language 3,Language level 3,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Duration of Recruiting,Major 1,Major 2,Major 3,Major 4
Mobile App Developer,"Tuesday, August 30, 2022","Thursday, September 29, 2022",Medium Skill,None,2,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Card Management System Officer,"Monday, September 5, 2022","Wednesday, October 5, 2022",Medium Skill,1,2,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Senior Network and Security Officer,"Monday, September 5, 2022","Wednesday, October 5, 2022",Low Skill,3,2,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
IT Support Officer,"Monday, August 22, 2022","Wednesday, September 21, 2022",Low Skill,1,2,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
"Specialist, Business Intelligence and Data Analytics","Friday, August 26, 2022","Sunday, September 25, 2022",Medium Skill,2,2,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Digital Touchpoints Specialist,"Tuesday, August 23, 2022","Thursday, September 22, 2022",Medium Skill,2,2,,,Male/Female,Age Unlimited,Full-Time,Project Management,Telecommunication,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Mobile App Developer,"Thursday, August 25, 2022","Saturday, September 24, 2022",Medium Skill,2,2,,,Male/Female,Age Unlimited,Full-Time,Bank/Insurance,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
IT Audit Officer,"Wednesday, August 17, 2022","Friday, September 16, 2022",Medium Skill,2,2,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Assistant IT Security Manager,"Wednesday, August 17, 2022","Friday, September 16, 2022",High Skill,5,2,,,Male/Female,Age Unlimited,Full-Time,Assistant/Secretary,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
"Officer, Android Developer","Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,2,2,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Human Resource Intern,"Friday, August 12, 2022","Sunday, September 11, 2022",Low Skill,None,1,,,Male/Female,At least 18,Full-Time,Human Resource,Property Development/Management,Graduated,Khmer,Mother Tongue,English,Good,,,Phnom Penh,,,,,,,30,Information Technology,,,
iOS Developer,"Thursday, September 1, 2022","Saturday, October 1, 2022",Low Skill,1,1,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,Khmer,Mother Tongue,English,Good,,,Phnom Penh,,,,,,,30,Computer Science,,,
Python Teacher,"Thursday, September 1, 2022","Saturday, October 1, 2022",Medium Skill,1,1,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,Khmer,Mother Tongue,English,Excellent,,,Phnom Penh,,,,,,,30,Computer Science,,,
Senior Backend Developer,"Thursday, September 1, 2022","Saturday, October 1, 2022",High Skill,3,1,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,English,Good,Khmer,Mother Tounge,,,Phnom Penh,,,,,,,30,Information Technology,,,
IT Support,"Thursday, September 1, 2022","Saturday, October 1, 2022",Low Skill,1,1,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,Khmer,Mother Tongue,English,Good,,,Phnom Penh,,,,,,,30,Information Technology,Telecoms and Networking,,
OSS System Integration & Operation Engineer,"Monday, September 5, 2022","Wednesday, October 5, 2022",Low Skill,1,1,,,Male/Female,Age Unlimited,Full-Time,IT,Telecommunication,Graduated,English,Excellent,Khmer,Excellent,,,Phnom Penh,,,,,,,30,Computer Science,,,
IT Storage Product Manager (Fresh Graduate),"Monday, September 5, 2022","Wednesday, October 5, 2022",Low Skill,1,1,,,Male/Female,Age Unlimited,Full-Time,Telecommunication,Telecommunication,Graduated,English,Good,Chinese-Mandarin,Good,,,Phnom Penh,,,,,,,30,Computer Science,,,
Fixed Network Product & Solution,"Monday, September 5, 2022","Wednesday, October 5, 2022",Low Skill,None,1,,,Male/Female,Age Unlimited,Full-Time,Telecommunication,Telecommunication,Graduated,English,Excellent,Khmer,Excellent,,,Phnom Penh,,,,,,,30,Telecoms and Networking,,,
System Engineer,"Tuesday, September 6, 2022","Thursday, October 6, 2022",Low Skill,1,1,,,Male/Female,Age Unlimited,Full-Time,Telecommunication,Telecommunication,Graduated,English,Good,Khmer,Good,,,Phnom Penh,,,,,,,30,Telecoms and Networking,,,
​IT Security Governance at an International Financial Services Company in Phnom Penh,"Wednesday, August 31, 2022","Friday, September 30, 2022",Medium Skill,3,1,"$1,000","$2,000",Male/Female,Age Unlimited,Full-Time,IT,General Business Services,Graduated,Khmer,Mother Tongue,English,Good,,,Phnom Penh,,,,,,,30,Telecoms and Networking,,,
iOS Developer,"Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,1,1,,,Male/Female,At least 18,Full-Time,IT,Telecommunication,Graduated,English,Good,Khmer,Mother Tounge,,,Phnom Penh,,,,,,,30,Computer Science,,,
Supply Chain Specialist- 供应链专员（21-22年毕业的应届生）,"Monday, September 5, 2022","Wednesday, October 5, 2022",High Skill,3,1,,,Male/Female,Age Unlimited,Full-Time,Merchandising/Purchasing,Telecommunication,Graduated,English,Excellent,Khmer,Excellent,Chinese-Mandarin,Excellent,Phnom Penh,,,,,,,30,Telecoms and Networking,,,
Programmer,"Friday, September 9, 2022","Monday, September 19, 2022",Low Skill,None,1,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,Chinese-Mandarin,Good,Khmer,Good,Phnom Penh,,,,,,,10,Computer Science,,,
Programmer,"Monday, September 5, 2022","Thursday, September 15, 2022",Medium Skill,2,1,,,Male/Female,At least 18,Full-Time,Operation/Production,Information Technology,Graduated,English,Good,Chinese-Mandarin,Good,Khmer,Good,Phnom Penh,,,,,,,10,Computer Science,,,
បុគ្គលិកជាប់កិច្ចសន្យា,"Wednesday, August 31, 2022","Thursday, September 15, 2022",Low Skill,1,1,,,Male/Female,Age Unlimited,Full-Time,IT,Others,Graduated,Khmer,Mother Tongue,English,Good,,,Phnom Penh,,,,,,,15,Computer Science,,,
Quality Assurance,"Thursday, September 1, 2022","Saturday, October 1, 2022",High Skill,1,2,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,Khmer,Mother Tongue,English,Excellent,,,Phnom Penh,,,,,,,30,Computer Science,,,
IT-Programing Teacher,"Thursday, September 1, 2022","Saturday, October 1, 2022",High Skill,1,3,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,Khmer,Mother Tongue,English,Excellent,,,Phnom Penh,,,,,,,30,Information Technology,,,
